method,expert,purity_mean,purity_std
baseline,e0,0.6332154870033264,0.0
baseline,e1,0.6356014609336853,0.0
baseline,e2,0.41593849658966064,0.0
baseline,e3,0.5227664113044739,0.0
ours,e0,0.4354802370071411,0.0
ours,e1,0.4920494258403778,0.0
ours,e2,0.5716463923454285,0.0
ours,e3,0.4632408320903778,0.0
