method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,1,0.43839080427396243,0.0,0.43839080427396243,0.0,0.43839080427396243,0.0
ours,1,0.4297606588165435,0.0,0.4297606588165435,0.0,0.4297606588165435,0.0
