method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,0.05084576614951555
baseline,glue/rte,glue/cola,0.22711892465444414
baseline,glue/mrpc,glue/rte,0.05084576614951555
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.522412771905813
baseline,glue/cola,glue/rte,0.22711892465444414
baseline,glue/cola,glue/mrpc,0.522412771905813
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,-0.713789943784389
ours,glue/rte,glue/cola,-0.5128846211639789
ours,glue/mrpc,glue/rte,-0.713789943784389
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.6448083343498853
ours,glue/cola,glue/rte,-0.5128846211639789
ours,glue/cola,glue/mrpc,0.6448083343498853
ours,glue/cola,glue/cola,1.0
