method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,1,1.0,1.2298813443630934,0.24659167230129242,0.2214585691690445,0.09797324985265732,0.43397632241249084
ours,1,1.0,1.35414420309718,0.23667804896831512,0.32124653458595276,0.20739105343818665,0.2346840798854828
