method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,58.046030663885176,0.0,0.5708636781200767,0.0,3747.55712890625,0.0
ours,59.662225293926895,0.0,0.6010962161235511,0.0,3542.6376953125,0.0
