method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coord_02_anchor,coord:method.ours.lambda_align,1,0.6275129015577835,0.0,0.6275129015577835,0.6275129015577835,1e-08,0.001,2e-05
ours,coord_01_anchor,coord:train.lr,1,0.618564355696486,0.0,0.618564355696486,0.618564355696486,1e-08,0.001,2e-05
ours,coord_03_anchor,coord:method.ours.eps,1,0.5653508691857363,0.0,0.5653508691857363,0.5653508691857363,1e-08,0.001,2e-05
