ts_epoch,event,phase,completed_jobs,total_jobs,failed_jobs,percent,eta_sec,elapsed_sec
1774759195.8613482,init,,0,0,0,0.0,,3.314018249511719e-05
1774759195.8617704,pipeline_start,,0,0,0,0.0,,0.0004949569702148438
1774759195.8679636,lock_wait,,0,0,0,0.0,,0.0008664131164550781
1774759195.871065,lock_acquired,,0,0,0,0.0,,0.007109880447387695
1774759195.874895,method_start,,0,0,0,0.0,,0.010133028030395508
1774759195.8776975,lock_wait,,0,0,0,0.0,,0.014061212539672852
1774759195.9307475,lock_acquired,,0,0,0,0.0,,0.016794681549072266
1774759195.933573,lock_released,,0,0,0,0.0,,0.06988000869750977
1774759195.9358032,lock_wait,,0,0,0,0.0,,0.07352447509765625
1774759195.9380205,lock_acquired,,0,0,0,0.0,,0.07491636276245117
1774759195.9405577,plan_add,,0,24,0,0.0,,0.07709884643554688
1774759195.9429884,phase_start,cagrad:coord:train.lr,0,24,0,0.0,,0.07962536811828613
1774759195.9772432,group_slots,cagrad:coord:train.lr,0,24,0,0.0,,0.11570262908935547
1774759195.9808075,group_start,cagrad:coord:train.lr,0,24,0,0.0,,0.11634397506713867
