method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_04_method_ours_lambda_align_009,coord:method.ours.lambda_align,2,0.7073112073112073,0.03519320185986857,0.7073112073112073,0.7073112073112073,2.7792146575590733e-05,1.0,3.073869450200515e-05,0.03175375624865879
ours,coord_03_anchor,coord:train.grad_clip,2,0.7015893057559724,0.0014129389129389214,0.7015893057559724,0.7015893057559724,0.001,1.0,3.073869450200515e-05,0.03175375624865879
ours,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.6983425525092193,0.01856862273528942,0.6983425525092193,0.6983425525092193,0.001,1.0,3.073869450200515e-05,0.03175375624865879
ours,local_var_topk_011,local_var_topk,2,0.6977914061247394,0.017576559243225875,0.6977914061247394,0.6977914061247394,5.5584293e-05,0.7,3.0738695e-05,0.03175375624865879
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.6975208433541766,0.0026354818021485094,0.6975208433541766,0.6975208433541766,0.001,0.6972133520518287,3.073869450200515e-05,0.03175375624865879
ours,local_var_topk_014,local_var_topk,2,0.6970598845598847,0.029270883437550133,0.6970598845598847,0.6970598845598847,5.5584293e-05,1.0,3.0738695e-05,0.03175375624865879
ours,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.6963283629950296,0.025593233926567316,0.6963283629950296,0.6963283629950296,0.001,0.9733492506568604,3.073869450200515e-05,0.03175375624865879
ours,local_var_topk_009,local_var_topk,2,0.6959776334776334,0.00015031265031262286,0.6959776334776334,0.6959776334776334,1.3896073e-05,0.7,3.0738695e-05,0.03175375624865879
ours,local_var_topk_016,local_var_topk,2,0.6955667789001123,0.013347763347763275,0.6955667789001123,0.6955667789001123,2.7792147e-05,1.3,3.0738695e-05,0.03175375624865879
ours,local_var_topk_013,local_var_topk,2,0.6941237774571107,0.009499759499759619,0.6941237774571107,0.6941237774571107,2.7792147e-05,1.0,3.0738695e-05,0.03175375624865879
ours,coord_01_train_lr_008,coord:train.lr,2,0.6941037357704025,0.012225428892095602,0.6941037357704025,0.6941037357704025,0.001,1.0,3.073869450200515e-05,0.01
ours,coord_04_method_ours_lambda_align_006,coord:method.ours.lambda_align,2,0.6932920474587141,0.0011724386724386027,0.6932920474587141,0.6932920474587141,0.0008511481723539354,1.0,3.073869450200515e-05,0.03175375624865879
ours,local_var_topk_008,local_var_topk,2,0.6884620009620009,0.008828362995029648,0.6884620009620009,0.6884620009620009,5.5584293e-05,1.3,1.5369347e-05,0.03175375624865879
ours,coord_04_method_ours_lambda_align_002,coord:method.ours.lambda_align,2,0.6874599166265833,0.002575356742023416,0.6874599166265833,0.6874599166265833,0.000840670587923724,1.0,3.073869450200515e-05,0.03175375624865879
ours,coord_04_method_ours_lambda_align_001,coord:method.ours.lambda_align,2,0.6851751643418309,0.007024611191277896,0.6851751643418309,0.6851751643418309,0.005445486962674414,1.0,3.073869450200515e-05,0.03175375624865879
ours,coord_04_method_ours_lambda_align_000,coord:method.ours.lambda_align,2,0.6849046015712682,0.027376944043610685,0.6849046015712682,0.6849046015712682,6.143546030345602e-05,1.0,3.073869450200515e-05,0.03175375624865879
ours,local_var_topk_015,local_var_topk,2,0.6847142055475388,0.001533189033189053,0.6847142055475388,0.6847142055475388,1.3896073e-05,1.3,3.0738695e-05,0.03175375624865879
ours,local_var_topk_010,local_var_topk,2,0.6829204745871411,0.02879990379990377,0.6829204745871411,0.6829204745871411,2.7792147e-05,0.7,3.0738695e-05,0.03175375624865879
ours,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.6814574314574315,0.015131473464806755,0.6814574314574315,0.6814574314574315,0.001,0.6271934850757253,3.073869450200515e-05,0.03175375624865879
ours,coord_04_method_ours_lambda_align_007,coord:method.ours.lambda_align,2,0.6782507615840949,0.010060926727593344,0.6782507615840949,0.6782507615840949,0.0002295465706459708,1.0,3.073869450200515e-05,0.03175375624865879
ours,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.6768478435145102,0.042829084495751124,0.6768478435145102,0.6768478435145102,0.001,1.4235623362774221,3.073869450200515e-05,0.03175375624865879
ours,coord_02_train_weight_decay_008,coord:train.weight_decay,2,0.6767877184543851,0.027998236331569726,0.6767877184543851,0.6767877184543851,0.001,1.0,3.073869450200515e-05,0.01543368425632205
ours,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.6766474266474267,0.005130671797338449,0.6766474266474267,0.6766474266474267,0.001,1.0,3.073869450200515e-05,0.007589584457877514
ours,coord_04_anchor,coord:method.ours.lambda_align,2,0.6761664261664262,0.014890973224306603,0.6761664261664262,0.6761664261664262,0.001,1.0,3.073869450200515e-05,0.03175375624865879
ours,coord_03_train_grad_clip_000,coord:train.grad_clip,2,0.6750390812890812,0.02986712361712357,0.6813572230238896,0.6687209395542728,0.001,0.8623574172053887,3.073869450200515e-05,0.03175375624865879
ours,coord_03_train_grad_clip_003,coord:train.grad_clip,2,0.6736812570145905,0.015311848645182036,0.6736812570145905,0.6736812570145905,0.001,0.8690175238301865,3.073869450200515e-05,0.03175375624865879
