method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_03_train_grad_clip_008,coord:train.grad_clip,2,0.6980136169668281,0.008669647524489232,0.6980136169668281,0.6980136169668281,0.001,0.9919648274387669,1.6931017748355704e-05,0.03456878451370884
ours,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.6968208999976313,0.006344514400628609,0.6968208999976313,0.6968208999976313,0.001,1.0,1.6931017748355704e-05,0.03456878451370884
ours,local_var_topk_021,local_var_topk,2,0.6890800247121357,0.032059245895274646,0.6890800247121357,0.6890800247121357,0.0013757459538083201,0.691964827439,3.3862035e-05,0.034568784514
ours,local_var_topk_013,local_var_topk,2,0.6882533176250334,0.011675721177268339,0.6882533176250334,0.6882533176250334,0.0013757459538083201,0.991964827439,1.6931018e-05,0.034568784514
ours,coord_02_train_weight_decay_010,coord:train.weight_decay,2,0.6860614647412846,0.011023512894929366,0.6860614647412846,0.6860614647412846,0.001,1.0,1.6931017748355704e-05,0.025364782818545862
ours,coord_03_train_grad_clip_010,coord:train.grad_clip,2,0.6844514861566138,0.014525563857861246,0.6844514861566138,0.6844514861566138,0.001,1.2734488306242047,1.6931017748355704e-05,0.03456878451370884
ours,coord_04_method_ours_lambda_align_005,coord:method.ours.lambda_align,2,0.6839464936993623,0.0074687849683359175,0.6839464936993623,0.6839464936993623,0.0013757459538083201,0.9919648274387669,1.6931017748355704e-05,0.03456878451370884
ours,local_var_topk_018,local_var_topk,2,0.6837891414894647,0.026203988448123994,0.6837891414894647,0.6837891414894647,0.0013757459538083201,0.691964827439,3.3862035e-05,0.024568784514
ours,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.6836926457642394,0.001988105751996483,0.6836926457642394,0.6836926457642394,0.001,1.0,1.6931017748355704e-05,0.005634744022938704
ours,coord_01_train_lr_002,coord:train.lr,2,0.6836375552409641,0.011608646277141255,0.6836375552409641,0.6836375552409641,0.001,1.0,1.6931017748355704e-05,0.01
ours,coord_01_train_lr_008,coord:train.lr,2,0.6833404145221194,0.0020492280534274987,0.6833404145221194,0.6833404145221194,0.001,1.0,9.799696331767565e-06,0.01
ours,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.6831763815452767,0.010476033587745959,0.6831763815452767,0.6831763815452767,0.001,1.0,1.6931017748355704e-05,0.008112802310274775
ours,coord_04_method_ours_lambda_align_009,coord:method.ours.lambda_align,2,0.6826253533015787,0.01322758627999121,0.6826253533015787,0.6826253533015787,0.015927567086443106,0.9919648274387669,1.6931017748355704e-05,0.03456878451370884
ours,local_var_topk_019,local_var_topk,2,0.6824802215929943,0.005991108191877537,0.6824802215929943,0.6824802215929943,0.0013757459538083201,0.991964827439,3.3862035e-05,0.024568784514
ours,local_var_topk_015,local_var_topk,2,0.6823989057014029,0.0038504674517785276,0.6823989057014029,0.6823989057014029,0.0013757459538083201,0.691964827439,1.6931018e-05,0.044568784514
ours,coord_04_method_ours_lambda_align_001,coord:method.ours.lambda_align,2,0.68185273426923,0.00243485181892078,0.68185273426923,0.68185273426923,0.004407043446866011,0.9919648274387669,1.6931017748355704e-05,0.03456878451370884
ours,local_var_topk_024,local_var_topk,2,0.6810840869351561,0.00924497396500179,0.6810840869351561,0.6810840869351561,0.0013757459538083201,0.691964827439,3.3862035e-05,0.044568784514
ours,local_var_topk_016,local_var_topk,2,0.6805430621678887,0.012785986877972666,0.6805430621678887,0.6805430621678887,0.0013757459538083201,0.991964827439,1.6931018e-05,0.044568784514
ours,coord_02_anchor,coord:train.weight_decay,2,0.6804756578246511,0.019913905684549094,0.6804756578246511,0.6804756578246511,0.001,1.0,1.6931017748355704e-05,0.01
ours,coord_03_train_grad_clip_001,coord:train.grad_clip,2,0.6802786550861954,0.010568001944557037,0.6802786550861954,0.6802786550861954,0.001,1.1953276801381858,1.6931017748355704e-05,0.03456878451370884
ours,coord_01_anchor,coord:train.lr,2,0.6794578864585998,0.01987745061277324,0.6794578864585998,0.6794578864585998,0.001,1.0,2e-05,0.01
ours,local_var_topk_026,local_var_topk,2,0.6794358986053171,0.007015913804606255,0.6794358986053171,0.6794358986053171,0.0013757459538083201,1.291964827439,3.3862035e-05,0.044568784514
ours,local_var_topk_010,local_var_topk,2,0.6791698937952328,0.0013177879960002414,0.6791698937952328,0.6791698937952328,0.0013757459538083201,0.991964827439,1.6931018e-05,0.024568784514
ours,coord_04_method_ours_lambda_align_006,coord:method.ours.lambda_align,2,0.6789907622850948,0.004773948099176084,0.6821797822012854,0.6758017423689042,0.013468899586781935,0.9919648274387669,1.6931017748355704e-05,0.03456878451370884
ours,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.6788503028716151,0.024503482290031964,0.6788503028716151,0.6788503028716151,0.001,1.0,1.6931017748355704e-05,0.014367514730246106
ours,coord_02_train_weight_decay_002,coord:train.weight_decay,2,0.6776334644454701,0.021716206936016613,0.67797076187585,0.6772961670150902,0.001,1.0,1.6931017748355704e-05,0.04430050277988751
ours,coord_01_train_lr_005,coord:train.lr,2,0.6776250784922955,0.0032996117061899755,0.6776250784922955,0.6776250784922955,0.001,1.0,4.46028624326249e-05,0.01
ours,local_var_topk_006,local_var_topk,2,0.6769136991166491,0.0018356739799758048,0.6769136991166491,0.6769136991166491,0.0013757459538083201,0.691964827439,8.465509e-06,0.044568784514
ours,coord_02_train_weight_decay_001,coord:train.weight_decay,2,0.6768951937456913,0.01026036853333151,0.6771120337667368,0.6766783537246459,0.001,1.0,1.6931017748355704e-05,0.04164557575300149
ours,coord_02_train_weight_decay_003,coord:train.weight_decay,2,0.6767776857712451,0.005225326871474978,0.6767776857712451,0.6767776857712451,0.001,1.0,1.6931017748355704e-05,0.00034654617512255295
ours,local_var_topk_020,local_var_topk,2,0.6763905575960102,0.006154099110468492,0.6763905575960102,0.6763905575960102,0.0013757459538083201,1.291964827439,3.3862035e-05,0.024568784514
ours,coord_03_train_grad_clip_009,coord:train.grad_clip,2,0.6761475586608383,0.003964040489842113,0.6761475586608383,0.6761475586608383,0.001,0.820192140932037,1.6931017748355704e-05,0.03456878451370884
ours,coord_04_method_ours_lambda_align_003,coord:method.ours.lambda_align,2,0.6760557232124067,0.0032898288011123378,0.6760557232124067,0.6760557232124067,0.00029690279889229014,0.9919648274387669,1.6931017748355704e-05,0.03456878451370884
ours,local_var_topk_011,local_var_topk,2,0.6759791312239608,0.00017135707690063562,0.6759791312239608,0.6759791312239608,0.0013757459538083201,1.291964827439,1.6931018e-05,0.024568784514
ours,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.6759522865591532,0.011503651485226751,0.6770349553901791,0.6748696177281273,0.001,1.7615721587592104,1.6931017748355704e-05,0.03456878451370884
ours,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.675914563202097,0.005476245166574634,0.675914563202097,0.675914563202097,0.001,1.0,1.6931017748355704e-05,0.0037451510781109144
ours,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.6749311627913185,0.011184640268370405,0.6749311627913185,0.6749311627913185,0.001,1.0161765270105294,1.6931017748355704e-05,0.03456878451370884
ours,local_var_topk_012,local_var_topk,2,0.6749209330878589,0.0148205511781756,0.6749209330878589,0.6749209330878589,0.0013757459538083201,0.691964827439,1.6931018e-05,0.034568784514
ours,coord_01_train_lr_000,coord:train.lr,2,0.6747966637530888,0.03222052597196012,0.6807500980750727,0.6688432294311049,0.001,1.0,3.483800361181956e-05,0.01
ours,coord_03_anchor,coord:train.grad_clip,2,0.6745796908236639,0.006161642367960851,0.6745958660562248,0.6745635155911032,0.001,1.0,1.6931017748355704e-05,0.03456878451370884
ours,local_var_topk_014,local_var_topk,2,0.6741118193940043,0.007609139044855495,0.6741118193940043,0.6741118193940043,0.0013757459538083201,1.291964827439,1.6931018e-05,0.034568784514
ours,local_var_topk_022,local_var_topk,2,0.6733534413531199,0.00037539406203368486,0.6733534413531199,0.6733534413531199,0.0013757459538083201,0.991964827439,3.3862035e-05,0.034568784514
ours,coord_03_train_grad_clip_005,coord:train.grad_clip,2,0.6733447697883215,0.03355526826985161,0.6733447697883215,0.6733447697883215,0.001,0.7780371314321872,1.6931017748355704e-05,0.03456878451370884
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.6726623884760132,0.0063773272172403805,0.6726623884760132,0.6726623884760132,0.001,0.9778028381241367,1.6931017748355704e-05,0.03456878451370884
