method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_var_topk_022,0.8411552346570397,0.0072202166064981865,1.872120212075,6.1477389e-05,0.002392015778,,,,
cagrad,cagrad,baseline_cagrad,local_var_topk_015,0.8384476534296028,0.002707581227436806,1.0161765270105294,4.4602862e-05,0.010346546175,0.4811638322148908,0.091223018777,,
ours,ours,ours,coord_02_train_weight_decay_000,0.8411552346570397,0.018050541516245466,1.0,5.4846116356886335e-05,0.03963349773650037,,,0.001,true
