method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.eps,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,local_t1_018,0.7308248556450985,0.015996363332643537,0.844204568578,5.1231564e-05,0.004184126715,,,,,
cagrad,cagrad,baseline_cagrad,local_t2_035,0.7234955000503016,0.01554659430704658,,3.2765494e-05,,0.540045159287,0.288134009582,,,
ours,ours,ours,local_t1_024,0.7245027518595127,0.004271121058766036,,4e-05,,,,1e-08,0.002,true
