method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,5,0.8448614304767416,0.010010812266732588,0.8379964033835965,0.013539414763868737,0.8414289169301691,0.011537434394090327
ours,5,0.8348537036552136,0.010118185443093288,0.8283333963105797,0.014780166875080075,0.8315935499828967,0.01237983202501414
