method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.015643162828479114
baseline,e0,e2,0.03769054175897869
baseline,e0,e3,-0.03953659633891608
baseline,e1,e0,-0.015643162828479114
baseline,e1,e1,1.0
baseline,e1,e2,0.0038739483631831844
baseline,e1,e3,-0.00821487978407926
baseline,e2,e0,0.03769054175897869
baseline,e2,e1,0.0038739483631831844
baseline,e2,e2,1.0
baseline,e2,e3,-0.05188806345935108
baseline,e3,e0,-0.03953659633891608
baseline,e3,e1,-0.00821487978407926
baseline,e3,e2,-0.05188806345935108
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.025759834575284572
ours,e0,e2,0.019805518607768764
ours,e0,e3,0.06308043483573024
ours,e1,e0,0.025759834575284572
ours,e1,e1,1.0
ours,e1,e2,-0.004248169336206137
ours,e1,e3,0.0037136729117197786
ours,e2,e0,0.019805518607768764
ours,e2,e1,-0.004248169336206137
ours,e2,e2,1.0
ours,e2,e3,0.03359655291905775
ours,e3,e0,0.06308043483573024
ours,e3,e1,0.0037136729117197786
ours,e3,e2,0.03359655291905775
ours,e3,e3,1.0
