method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.82895493767977,0.010617732080465648,0.5511073764155514,0.03957409725766612
baseline,glue_mrpc,glue/mrpc,5,0.8651960784313726,0.02056487937588533,0.6122466079123394,0.12668892169194815
baseline,glue_rte,glue/rte,5,0.7422382671480146,0.03459681891902074,1.149572483846356,0.04985857553100781
baseline,glue_sst2,glue/sst2,5,0.9155963302752295,0.010399801879591417,0.2384677247011236,0.019305169091678214
ours,glue_cola,glue/cola,5,0.8168744007670181,0.012127622857788593,0.5704759454997806,0.0674199537037465
ours,glue_mrpc,glue/mrpc,5,0.8671568627450981,0.004752627311192463,0.5546031446370016,0.027160169532916282
ours,glue_rte,glue/rte,5,0.7061371841155234,0.0489485956871575,1.250134795301818,0.16419653815311083
ours,glue_sst2,glue/sst2,5,0.923165137614679,0.006239206655383218,0.23009516981692285,0.015260289653160708
