method,candidate_id,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
ours,coord_01_train_lr_005,3,0.6931407942238267,0.6931407942238267,0.6931407942238267,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_005/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_005/ours_s3_curve.csv
ours,coord_01_train_lr_006,2,0.6425992779783394,0.6245487364620939,0.6335740072202166,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_006/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_006/ours_s2_curve.csv
ours,coord_01_train_lr_006,3,0.6642599277978339,0.6642599277978339,0.6642599277978339,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_006/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_006/ours_s3_curve.csv
ours,coord_01_train_lr_007,2,0.6750902527075813,0.6750902527075813,0.6750902527075813,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_007/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_007/ours_s2_curve.csv
ours,coord_01_train_lr_007,3,0.6462093862815884,0.6462093862815884,0.6462093862815884,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_007/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_007/ours_s3_curve.csv
ours,coord_01_train_lr_008,2,0.6678700361010831,0.6678700361010831,0.6678700361010831,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_008/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_008/ours_s2_curve.csv
ours,coord_01_train_lr_008,3,0.6678700361010831,0.6678700361010831,0.6678700361010831,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_008/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_008/ours_s3_curve.csv
ours,coord_01_train_lr_009,2,0.5270758122743683,0.5270758122743683,0.5270758122743683,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_009/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_009/ours_s2_curve.csv
ours,coord_01_train_lr_009,3,0.5270758122743683,0.4729241877256318,0.5,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_009/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_009/ours_s3_curve.csv
ours,coord_01_train_lr_010,2,0.6787003610108303,0.6787003610108303,0.6787003610108303,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_010/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/single_task/roberta_rte_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_010/ours_s2_curve.csv
