method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,coord_02_train_weight_decay_004,coord:train.weight_decay,2,0.6993446368446369,0.007846320346320379,0.6993446368446369,0.6993446368446369,0.001,1.0,2e-05,0.012627914022778375
ours,local_var_topk_023,local_var_topk,2,0.6989939073272408,0.002244668911335568,0.6989939073272408,0.6989939073272408,6.143546030345602e-05,0.997213352052,4e-05,0.012627914023
ours,local_var_topk_008,local_var_topk,2,0.6878306878306878,0.00016033349366684213,0.6878306878306878,0.6878306878306878,6.143546030345602e-05,0.997213352052,1e-05,0.022627914023
ours,coord_03_train_grad_clip_007,coord:train.grad_clip,2,0.6874498957832291,0.013568221901555266,0.6874498957832291,0.6874498957832291,0.001,0.6972133520518287,2e-05,0.012627914022778375
ours,coord_03_anchor,coord:train.grad_clip,2,0.6868386243386244,0.01740620490620498,0.6868386243386244,0.6868386243386244,0.001,1.0,2e-05,0.012627914022778375
ours,coord_03_train_grad_clip_004,coord:train.grad_clip,2,0.6866081449414783,0.006613756613756627,0.6866081449414783,0.6866081449414783,0.001,0.9537451003327635,2e-05,0.012627914022778375
ours,coord_02_train_weight_decay_006,coord:train.weight_decay,2,0.6853354978354979,0.013437950937950971,0.6853354978354979,0.6853354978354979,0.001,1.0,2e-05,0.04941338139680235
ours,local_var_topk_009,local_var_topk,2,0.6845037678371011,0.022907647907647877,0.6845037678371011,0.6845037678371011,6.143546030345602e-05,0.5,2e-05,0.002627914023
ours,local_var_topk_007,local_var_topk,2,0.6842833092833093,0.014850889850889892,0.6842833092833093,0.6842833092833093,6.143546030345602e-05,0.697213352052,1e-05,0.022627914023
ours,local_var_topk_006,local_var_topk,2,0.6836820586820587,0.004689754689754744,0.6836820586820587,0.6836820586820587,6.143546030345602e-05,0.5,1e-05,0.022627914023
ours,coord_02_train_weight_decay_000,coord:train.weight_decay,2,0.6832712041045375,0.016965287798621054,0.6832712041045375,0.6832712041045375,0.001,1.0,2e-05,0.024742505611920138
ours,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.6832712041045373,0.003657607824274489,0.6832712041045373,0.6832712041045373,0.001,1.0,2e-05,0.007589584457877514
