method,method_alias,method_name,candidate_id,score_mean,score_std,param::train.grad_clip,param::train.lr,param::train.weight_decay,param::method.baseline_cagrad.c,param::method.baseline_cagrad.inner_lr,param::method.ours.lambda_align,fixed::method.ours.use_load_norm
baseline,baseline,baseline_avg,coord_02_train_weight_decay_009,0.7986577181208054,0.013422818791946345,1.0,1.2632687420587218e-05,0.007863245139373703,,,,
cagrad,cagrad,baseline_cagrad,local_var_topk_001,0.7921860019175455,0.013183125599232959,0.691964827439,1e-05,0.01,0.246825365994,0.07654088954971919,,
ours,ours,ours,local_var_topk_014,0.7919463087248322,0.014381591562799612,1.1089774084038875,2e-05,0.015699296315,,,0.000747817041,true
