method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,-0.021643984684711265
baseline,glue/rte,glue/cola,0.10971131349343669
baseline,glue/mrpc,glue/rte,-0.021643984684711265
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.16926536021190694
baseline,glue/cola,glue/rte,0.10971131349343669
baseline,glue/cola,glue/mrpc,0.16926536021190694
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,-0.1283767750909832
ours,glue/rte,glue/cola,0.08824625092418706
ours,glue/mrpc,glue/rte,-0.1283767750909832
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.16027875967093513
ours,glue/cola,glue/rte,0.08824625092418706
ours,glue/cola,glue/mrpc,0.16027875967093513
ours,glue/cola,glue/cola,1.0
