method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
baseline,5,0.8531182856524804,0.00491745109681333,0.850502734711504,0.006473008505969145,0.8518105101819922,0.00566866506927253
ours,5,0.8527450975867616,0.003711437193445342,0.844701019263616,0.006498165521203087,0.8487230584251888,0.0039028655429693554
cagrad,5,0.8496770874980315,0.009319077586287479,0.8441979361624877,0.009665242722678116,0.8469375118302598,0.00935373473505646
