method,candidate_id,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
ours,coord_01_anchor,2,0.7516593243553328,0.7516593243553328,0.7516593243553328,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_anchor/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_anchor/ours_s2_curve.csv
ours,coord_01_anchor,3,0.7768451879576728,0.7768451879576728,0.7768451879576728,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_anchor/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_anchor/ours_s3_curve.csv
ours,coord_01_train_lr_000,2,0.7522902969892598,0.7522902969892598,0.7522902969892598,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_000/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_000/ours_s2_curve.csv
ours,coord_01_train_lr_000,3,0.7697163840378461,0.7697163840378461,0.7697163840378461,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_000/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_000/ours_s3_curve.csv
ours,coord_01_train_lr_001,2,0.7222016270790858,0.7222016270790858,0.7222016270790858,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_001/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_001/ours_s2_curve.csv
ours,coord_01_train_lr_001,3,0.722659222145961,0.722659222145961,0.722659222145961,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_001/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_001/ours_s3_curve.csv
ours,coord_01_train_lr_002,2,0.6160076283075439,0.6160076283075439,0.6160076283075439,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_002/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_002/ours_s2_curve.csv
ours,coord_01_train_lr_002,3,0.6160076283075439,0.6160076283075439,0.6160076283075439,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_002/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_002/ours_s3_curve.csv
ours,coord_01_train_lr_003,2,0.7385463828639541,0.7385463828639541,0.7385463828639541,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_003/ours_s2.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_003/ours_s2_curve.csv
ours,coord_01_train_lr_003,3,0.779768943250339,0.779768943250339,0.779768943250339,False,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_003/ours_s3.json,/home/zhujjing/MOE-grad-conflict-routing/runs/paper_suite/single_gpu/multi_task/glue3_deberta_lora_e4_k2/hpo/ours/trial_runs/coord_01_train_lr_003/ours_s3_curve.csv
