method,expert,purity_mean,purity_std
baseline,e0,0.6027145624160767,0.10984683328605123
baseline,e1,0.5826370477676391,0.1315234398835142
baseline,e2,0.6055589139461517,0.20895323040989103
baseline,e3,0.6617800176143647,0.28631796012613003
baseline,e4,0.4627664268016815,0.037507900297420065
baseline,e5,0.4928796887397766,0.19403236916096997
ours,e0,0.4696239590644836,0.07907061455548037
ours,e1,0.5255854785442352,0.16121253608918912
ours,e2,0.5569694697856903,0.16205677063241516
ours,e3,0.4344402015209198,0.08337801226227524
ours,e4,0.5705730855464936,0.2201418669957113
ours,e5,0.6808103203773499,0.15008890446698459
