method,expert,score_var,score_mean,score_std
baseline,e0,0.009895748795784667,0.18463224060833455,0.09947737831177833
baseline,e1,0.08076403849029339,0.4472111165523529,0.2841901449563186
baseline,e2,0.032650886061629386,0.2938651922158897,0.180695561820509
baseline,e3,0.0231217805469189,0.2699969090521336,0.15205847739247852
cagrad,e0,0.10313698837108365,0.3134553307667375,0.3211494797926406
cagrad,e1,0.012196069478079672,0.21163621144369243,0.11043581610184112
cagrad,e2,0.09265706151191329,0.4726270583923906,0.30439622453623383
cagrad,e3,0.01906710910345857,0.1787722133565694,0.13808370325081296
ours,e0,0.03742912444388628,0.28204434365034103,0.1934660808614427
ours,e1,0.017489378090489303,0.16410489305853843,0.13224741241509907
ours,e2,0.026467006593014132,0.1647369392681867,0.16268683595489258
ours,e3,0.10328439723641498,0.5491437562741339,0.32137889979962125
