method,expert,purity_mean,purity_std
baseline,e0,0.704519522190094,0.18898011385385466
baseline,e1,0.5552295207977295,0.09437561889845769
baseline,e2,0.6759199142456055,0.12099412131227409
baseline,e3,0.7260888814926147,0.18221304132635457
cagrad,e0,0.8476517617702484,0.2116334810830272
cagrad,e1,0.6952909231185913,0.14261103809245415
cagrad,e2,0.6326490819454194,0.22291259960558601
cagrad,e3,0.7265234172344208,0.20215989844810528
ours,e0,0.6232842683792115,0.1699959265579061
ours,e1,0.7190927147865296,0.20769329439515752
ours,e2,0.5795081257820129,0.32730226782127503
ours,e3,0.6798378586769104,0.14090296690230117
