method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.053287776259761686
baseline,e0,e2,-0.19681192905466077
baseline,e0,e3,-0.16929040885426191
baseline,e1,e0,-0.053287776259761686
baseline,e1,e1,1.0
baseline,e1,e2,-0.15974604563063965
baseline,e1,e3,0.06296735000509551
baseline,e2,e0,-0.19681192905466077
baseline,e2,e1,-0.15974604563063965
baseline,e2,e2,1.0
baseline,e2,e3,0.07466766901899805
baseline,e3,e0,-0.16929040885426191
baseline,e3,e1,0.06296735000509551
baseline,e3,e2,0.07466766901899805
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.11310739218201209
cagrad,e0,e2,-0.03861284313653929
cagrad,e0,e3,0.06174439500229591
cagrad,e1,e0,0.11310739218201209
cagrad,e1,e1,1.0
cagrad,e1,e2,0.028685565051687772
cagrad,e1,e3,0.013283689397616543
cagrad,e2,e0,-0.03861284313653929
cagrad,e2,e1,0.028685565051687772
cagrad,e2,e2,1.0
cagrad,e2,e3,0.05202755453935465
cagrad,e3,e0,0.06174439500229591
cagrad,e3,e1,0.013283689397616543
cagrad,e3,e2,0.05202755453935465
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.12455489657277304
ours,e0,e2,-0.10699645618814244
ours,e0,e3,-0.02550040451510015
ours,e1,e0,-0.12455489657277304
ours,e1,e1,1.0
ours,e1,e2,0.19887940718628805
ours,e1,e3,-0.012314652165672386
ours,e2,e0,-0.10699645618814244
ours,e2,e1,0.19887940718628805
ours,e2,e2,1.0
ours,e2,e3,-0.1500045503963332
ours,e3,e0,-0.02550040451510015
ours,e3,e1,-0.012314652165672386
ours,e3,e2,-0.1500045503963332
ours,e3,e3,1.0
