method,expert,score_var,score_mean,score_std
baseline,e0,0.05958285234094487,0.30166602032259104,0.24409599001406163
baseline,e1,0.038706075230490765,0.24242982612922787,0.1967385961891839
baseline,e2,0.03140200513850317,0.4273582506924868,0.1772061092019775
baseline,e3,0.009714499193164325,0.09736027931794525,0.09856215903258372
cagrad,e0,0.017196512127325418,0.4610551416873932,0.13113547242194012
cagrad,e1,0.01699107675263324,0.32313989400863646,0.13034982452091465
cagrad,e2,0.024991512927290276,0.11167882436420769,0.15808704224980072
cagrad,e3,0.025007747243120958,0.19598643369972707,0.15813838004457031
ours,e0,0.03118465735792981,0.27094937562942506,0.17659178168286827
ours,e1,0.006082473733365787,0.11187146343290806,0.07799021562584493
ours,e2,0.012490982821533426,0.5090992748737335,0.11176306555178873
ours,e3,0.029351072848563354,0.22343279684428125,0.17132154811512576
