method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,362.83580290160023,101.85183063981248,0.18841364009891404,0.05170407212362037,2572.7587890625,0.0
cagrad,6790.300529508002,2240.6648099410536,6.585604892382934,2.1748531750847397,2572.6087890625,0.3
ours,408.72594759579516,110.41014580186408,0.23174002609782618,0.05867939563843439,2572.5822265625,0.29154759474226505
