method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.baseline_cagrad.c,method.baseline_cagrad.inner_lr,train.lr
cagrad,local_t2_035,local,2,0.7234955000503016,0.01554659430704658,0.7234955000503016,0.7234955000503016,0.540045159287,0.288134009582,3.2765494e-05
cagrad,local_t1_010,local,2,0.7230686973098869,0.006105040365349312,0.7230686973098869,0.7230686973098869,0.343393754047,0.029895937346,3.1391556e-05
cagrad,local_t2_033,local,2,0.7226821884311434,0.01698031941356165,0.7226821884311434,0.7226821884311434,0.540045159287,0.072033502396,3.2765494e-05
cagrad,local_t2_034,local,2,0.7187646460792378,0.0035228002232318145,0.7187646460792378,0.7187646460792378,0.540045159287,0.144067004791,3.2765494e-05
cagrad,local_t3_067,local,2,0.7186231566258177,0.00939229866184682,0.7186231566258177,0.7186231566258177,0.379699628366,0.020766153188,3.0509277e-05
cagrad,local_t2_029,local,2,0.7167316052766821,0.030044526654215475,0.7182120201071487,0.7152511904462153,0.180045159287,0.288134009582,3.2765494e-05
cagrad,coarse_007,coarse,2,0.715714487848136,0.002904008500887789,0.715714487848136,0.715714487848136,0.5233937540470338,0.029895937346433032,3.139155643850622e-05
cagrad,local_t1_015,local,2,0.7150902596075055,0.007799224891904821,0.7150902596075055,0.7150902596075055,0.703393754047,0.014947968673,3.1391556e-05
cagrad,coarse_085,coarse,2,0.7146761298224618,0.0027395287256634093,0.7146761298224618,0.7146761298224618,0.3600451592871583,0.14406700479114468,6.553098724672537e-05
cagrad,coarse_093,coarse,2,0.7130493736757658,0.0050049350860770225,0.7130493736757658,0.7130493736757658,0.37969962836553195,0.02076615318768232,3.0509276607948083e-05
cagrad,local_t1_000,local,2,0.7129753818842326,0.009692894998557022,0.7129753818842326,0.7129753818842326,0.343393754047,0.014947968673,1.5695778e-05
cagrad,local_t3_063,local,2,0.71296264530251,0.019112883848731665,0.71296264530251,0.71296264530251,0.199699628366,0.010383076594,3.0509277e-05
cagrad,coarse_066,coarse,2,0.7125688123237084,0.00887297189448144,0.7125688123237084,0.7125688123237084,0.48956657015735394,0.17038833292579017,3.78403653085528e-05
cagrad,coarse_075,coarse,2,0.7123433869869191,0.0010394891608182522,0.7146938801607108,0.7099928938131274,0.6915098970806888,0.1843159135366941,2.8501855580622487e-05
cagrad,local_t3_068,local,2,0.7116508890846658,0.012237441475915989,0.7116508890846658,0.7116508890846658,0.379699628366,0.041532306375,3.0509277e-05
cagrad,local_t3_054,local,2,0.711593910979619,0.01755551294569463,0.711593910979619,0.711593910979619,0.199699628366,0.010383076594,1.5254638e-05
cagrad,local_t3_071,local,2,0.7115646230629,0.0016794034180596662,0.7115646230629,0.7115646230629,0.559699628366,0.041532306375,3.0509277e-05
cagrad,coarse_056,coarse,2,0.71150513807959,0.005850174408596753,0.71150513807959,0.71150513807959,0.546032421240933,0.012609340418615587,4.9779403516856877e-05
cagrad,local_t1_007,local,2,0.7113827068394291,0.012542235737929897,0.7113827068394291,0.7113827068394291,0.703393754047,0.029895937346,1.5695778e-05
cagrad,coarse_069,coarse,2,0.7104013905451534,0.008762525031172419,0.7104013905451534,0.7104013905451534,0.7669138890527686,0.012602956653638874,3.0359679372026807e-05
cagrad,local_t2_031,local,2,0.7101350958816884,0.004407487883902439,0.7101350958816884,0.7101350958816884,0.360045159287,0.144067004791,3.2765494e-05
cagrad,local_t1_017,local,2,0.7094527145693803,0.00841348924583446,0.7094527145693803,0.7094527145693803,0.703393754047,0.059791874693,3.1391556e-05
cagrad,local_t2_044,local,2,0.7090437950755941,0.011422532128366747,0.7090437950755941,0.7090437950755941,0.540045159287,0.288134009582,6.5530987e-05
cagrad,coarse_036,coarse,2,0.7089182376606787,0.01959435435066137,0.7089182376606787,0.7089182376606787,0.5297629713745715,0.36650521496002947,3.556618385851852e-05
cagrad,local_t1_020,local,2,0.7079872879865327,0.0022948667752420437,0.7079872879865327,0.7079872879865327,0.343393754047,0.059791874693,6.2783113e-05
cagrad,coarse_046,coarse,2,0.7078487677628655,0.01839358511315753,0.7078487677628655,0.7078487677628655,0.6744758488329541,0.018333469732190962,2.993998572804954e-05
cagrad,local_t3_065,local,2,0.7076754835144632,0.01497109536842467,0.7076754835144632,0.7076754835144632,0.199699628366,0.041532306375,3.0509277e-05
cagrad,coarse_023,coarse,2,0.7075404486009589,0.01109473199144062,0.7075404486009589,0.7075404486009589,0.4311106292772857,0.014145569839298081,4.604799638554324e-05
cagrad,local_t1_005,local,2,0.7070831829771943,0.020315368169897763,0.7070831829771943,0.7070831829771943,0.523393754047,0.059791874693,1.5695778e-05
cagrad,local_t1_012,local,2,0.7068678742303501,0.01958774286574405,0.7068678742303501,0.7068678742303501,0.523393754047,0.014947968673,3.1391556e-05
cagrad,coarse_default,coarse,2,0.7065198409135337,0.010490407487589781,0.7065198409135337,0.7065198409135337,0.4,0.1,2e-05
cagrad,coarse_020,coarse,2,0.7062264753582321,0.009216571161533127,0.7099990189099328,0.7024539318065317,0.5025642137255076,0.27360178813608216,3.757090574567768e-05
cagrad,local_t3_069,local,2,0.706088898925451,0.004003459842654988,0.7064147132132398,0.7057630846376621,0.559699628366,0.010383076594,3.0509277e-05
cagrad,local_t2_027,local,2,0.7056503033941994,0.004127478206815083,0.7056503033941994,0.7056503033941994,0.180045159287,0.072033502396,3.2765494e-05
cagrad,coarse_071,coarse,2,0.7054872488492566,0.010344523574134623,0.7054872488492566,0.7054872488492566,0.7742251352677686,0.05536066353207371,3.848827930556904e-05
cagrad,local_t2_028,local,2,0.704942409328716,0.008691188579389941,0.704942409328716,0.704942409328716,0.180045159287,0.144067004791,3.2765494e-05
cagrad,local_t2_032,local,2,0.7045525480481889,0.0074266035248930495,0.7045525480481889,0.7045525480481889,0.360045159287,0.288134009582,3.2765494e-05
cagrad,coarse_052,coarse,2,0.7043336903648303,0.013057654433372201,0.7043336903648303,0.7043336903648303,0.528657218666452,0.1467425325235517,4.966246297930606e-05
cagrad,local_t3_073,local,2,0.7040598057845482,0.01611240365924027,0.7040598057845482,0.7040598057845482,0.199699628366,0.020766153188,6.1018553e-05
cagrad,coarse_080,coarse,2,0.7039701011119444,0.007031509330405805,0.704044429416183,0.7038957728077057,0.7669545643078746,0.29116188849224545,2.4208236296937467e-05
cagrad,local_t2_042,local,2,0.703947604247847,0.012745982869682149,0.703947604247847,0.703947604247847,0.540045159287,0.072033502396,6.5530987e-05
cagrad,coarse_076,coarse,2,0.7039048275445343,0.008756242989365615,0.7039048275445343,0.7039048275445343,0.1679919565433744,0.22422251418303835,4.115999287568535e-05
cagrad,coarse_026,coarse,2,0.7038984125943482,0.0038238193217021155,0.7038984125943482,0.7038984125943482,0.24820146318495528,0.18788787860473316,1.7716582824012997e-05
cagrad,local_t3_059,local,2,0.7032986154589118,0.005205423134695297,0.7032986154589118,0.7032986154589118,0.379699628366,0.041532306375,1.5254638e-05
cagrad,coarse_084,coarse,2,0.7027963956966823,0.0043203367488863775,0.7027963956966823,0.7027963956966823,0.664472298641684,0.27539678696569825,2.1752652076593725e-05
cagrad,local_t3_061,local,2,0.7024100197263182,0.006585296310918087,0.7024100197263182,0.7024100197263182,0.559699628366,0.020766153188,1.5254638e-05
cagrad,local_t1_014,local,2,0.7018297035659012,0.0023140183071508336,0.7018297035659012,0.7018297035659012,0.523393754047,0.059791874693,3.1391556e-05
cagrad,local_t1_011,local,2,0.7012568840036519,0.011137312160021895,0.7012568840036519,0.7012568840036519,0.343393754047,0.059791874693,3.1391556e-05
cagrad,local_t3_070,local,2,0.7011905217186658,0.011842856292243575,0.7011905217186658,0.7011905217186658,0.559699628366,0.020766153188,3.0509277e-05
cagrad,local_t1_002,local,2,0.7006505390096499,0.01378017266235032,0.7006505390096499,0.7006505390096499,0.343393754047,0.059791874693,1.5695778e-05
cagrad,coarse_032,coarse,2,0.700518699552928,0.013002180738067082,0.700518699552928,0.700518699552928,0.8861935492396064,0.25196388747092907,7.926376585071565e-05
cagrad,local_t1_016,local,2,0.7004305063596603,0.015856511197344325,0.7004305063596603,0.7004305063596603,0.703393754047,0.029895937346,3.1391556e-05
cagrad,local_t3_072,local,2,0.7003565541578571,0.009408584180084056,0.7003565541578571,0.7003565541578571,0.199699628366,0.010383076594,6.1018553e-05
cagrad,coarse_091,coarse,2,0.7002245817927555,0.0076675183435621075,0.7002245817927555,0.7002245817927555,0.36880443415714736,0.019014988257025897,2.4317022377820487e-05
cagrad,local_t1_026,local,2,0.6999834704393553,0.004857163590849978,0.6999834704393553,0.6999834704393553,0.703393754047,0.059791874693,6.2783113e-05
cagrad,local_t2_030,local,2,0.6997107608257043,0.003035361569497963,0.6997107608257043,0.6997107608257043,0.360045159287,0.072033502396,3.2765494e-05
cagrad,coarse_000,coarse,2,0.6993674514120334,0.021063109298670668,0.6993674514120334,0.6993674514120334,0.18289574417509163,0.029095547553152943,3.483800361181956e-05
cagrad,local_t3_056,local,2,0.6984420711645531,0.012184302160764493,0.6984420711645531,0.6984420711645531,0.199699628366,0.041532306375,1.5254638e-05
cagrad,local_t2_043,local,2,0.6964669282213084,0.019554640195751594,0.6964669282213084,0.6964669282213084,0.540045159287,0.144067004791,6.5530987e-05
cagrad,local_t1_001,local,2,0.6961842787575784,0.005951989296837379,0.6961842787575784,0.6961842787575784,0.343393754047,0.029895937346,1.5695778e-05
cagrad,local_t3_080,local,2,0.6960260810241605,0.006499492640642424,0.6960260810241605,0.6960260810241605,0.559699628366,0.041532306375,6.1018553e-05
cagrad,local_t3_057,local,2,0.6959673722823432,0.0006980475340542247,0.6959673722823432,0.6959673722823432,0.379699628366,0.010383076594,1.5254638e-05
cagrad,coarse_006,coarse,2,0.6959036497839994,0.00670304323766352,0.6959036497839994,0.6959036497839994,0.7641226280777172,0.0210528024442379,2.410351909352087e-05
