method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.lambda_align,train.grad_clip,train.lr,train.weight_decay
ours,local_var_topk_005,local_var_topk,2,0.6985559566787003,0.009025270758122705,0.6985559566787003,0.6985559566787003,0.00037390852,0.5039649001674528,1.6782406e-05,0.048026134869
ours,coord_02_train_weight_decay_005,coord:train.weight_decay,2,0.6931407942238268,0.018050541516245466,0.6931407942238268,0.6931407942238268,0.001,1.0,3.356481249128643e-05,0.03802613486924597
ours,coord_03_train_grad_clip_021,coord:train.grad_clip,2,0.6931407942238268,0.01083032490974728,0.6931407942238268,0.6931407942238268,0.001,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_004,coord:method.ours.lambda_align,2,0.6931407942238268,0.03249097472924184,0.7093862815884476,0.6768953068592058,0.0003739085202872783,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_002,coord:method.ours.lambda_align,2,0.6877256317689531,0.012635379061371799,0.6877256317689531,0.6877256317689531,0.0002878913241153341,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_014,coord:method.ours.lambda_align,2,0.6877256317689531,0.005415162454873612,0.6877256317689531,0.6877256317689531,0.0004542517577004152,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_03_train_grad_clip_006,coord:train.grad_clip,2,0.6859205776173285,0.0072202166064981865,0.6859205776173285,0.6859205776173285,0.001,1.2363744014086087,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_022,coord:method.ours.lambda_align,2,0.6823104693140795,0.0072202166064981865,0.6823104693140795,0.6823104693140795,0.00048194170287499914,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_001,coord:method.ours.lambda_align,2,0.6805054151624549,0.0018050541516245744,0.6805054151624549,0.6805054151624549,0.0012346878339290972,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_019,coord:method.ours.lambda_align,2,0.6805054151624549,0.012635379061371799,0.6805054151624549,0.6805054151624549,0.0008349754890412005,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_02_train_weight_decay_019,coord:train.weight_decay,2,0.6796028880866426,0.004512635379061325,0.6859205776173285,0.6732851985559567,0.001,1.0,3.356481249128643e-05,0.03694470642666276
ours,local_var_topk_015,local_var_topk,2,0.6787003610108304,0.01083032490974728,0.6787003610108304,0.6787003610108304,0.000747817041,0.5039649001674528,3.3564812e-05,0.028026134869
ours,coord_04_anchor,coord:method.ours.lambda_align,2,0.6787003610108303,0.014440433212996373,0.6787003610108303,0.6787003610108303,0.001,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,local_var_topk_003,local_var_topk,2,0.6787003610108303,0.0072202166064981865,0.6787003610108303,0.6787003610108303,0.00037390852,0.5039649001674528,1.6782406e-05,0.028026134869
ours,coord_01_train_lr_019,coord:train.lr,2,0.6768953068592058,0.012635379061371854,0.6768953068592058,0.6768953068592058,0.001,1.0,3.356481249128643e-05,0.01
ours,coord_02_train_weight_decay_018,coord:train.weight_decay,2,0.6768953068592058,0.0018050541516245189,0.6768953068592058,0.6768953068592058,0.001,1.0,3.356481249128643e-05,0.005140241551623653
ours,coord_04_method_ours_lambda_align_015,coord:method.ours.lambda_align,2,0.6759927797833936,0.013537906137184086,0.6787003610108304,0.6732851985559567,0.007094332297035338,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_008,coord:method.ours.lambda_align,2,0.6750902527075813,0.0072202166064981865,0.6750902527075813,0.6750902527075813,0.00013289491787351013,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,coord_04_method_ours_lambda_align_017,coord:method.ours.lambda_align,2,0.6750902527075813,0.014440433212996429,0.6750902527075813,0.6750902527075813,0.0007644940430316359,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
ours,local_var_topk_008,local_var_topk,2,0.6750902527075813,0.018050541516245466,0.6750902527075813,0.6750902527075813,0.000747817041,0.5039649001674528,1.6782406e-05,0.048026134869
ours,coord_01_train_lr_000,coord:train.lr,2,0.6714801444043321,0.0036101083032490933,0.6714801444043321,0.6714801444043321,0.001,1.0,2.166929842602531e-05,0.01
ours,coord_03_train_grad_clip_002,coord:train.grad_clip,2,0.6696750902527075,0.0018050541516245189,0.6696750902527075,0.6696750902527075,0.001,0.6513832929507756,3.356481249128643e-05,0.03802613486924597
ours,coord_02_train_weight_decay_007,coord:train.weight_decay,2,0.667870036101083,0.018050541516245466,0.667870036101083,0.667870036101083,0.001,1.0,3.356481249128643e-05,0.0011293853537124698
ours,local_var_topk_004,local_var_topk,2,0.667870036101083,0.007220216606498242,0.667870036101083,0.667870036101083,0.00037390852,0.5039649001674528,1.6782406e-05,0.038026134869
ours,coord_04_method_ours_lambda_align_010,coord:method.ours.lambda_align,2,0.6669675090252707,0.02617328519855594,0.6859205776173285,0.648014440433213,2.8529473160537783e-05,0.5039649001674528,3.356481249128643e-05,0.03802613486924597
