method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,-0.10535472285696779
baseline,glue/rte,glue/cola,0.10546429889346358
baseline,glue/mrpc,glue/rte,-0.10535472285696779
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/cola,0.07597056706200811
baseline,glue/cola,glue/rte,0.10546429889346358
baseline,glue/cola,glue/mrpc,0.07597056706200811
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,-0.06555639799839363
ours,glue/rte,glue/cola,0.09128882767944353
ours,glue/mrpc,glue/rte,-0.06555639799839363
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/cola,0.1426990899906581
ours,glue/cola,glue/rte,0.09128882767944353
ours,glue/cola,glue/mrpc,0.1426990899906581
ours,glue/cola,glue/cola,1.0
