method,expert,score_var,score_mean,score_std
baseline,e0,0.013893095042759604,0.16924189999699593,0.11786897404643686
baseline,e1,0.013021322886831412,0.23429623562842608,0.11411101124269915
baseline,e2,0.018015700930972593,0.15731546548195183,0.1342225798104499
baseline,e3,0.013167305469840216,0.14140661302080842,0.11474888003741132
baseline,e4,0.0025566097391536502,0.2855071097612381,0.050562928506502174
baseline,e5,0.012627842844356602,0.1415965035557747,0.1123736750505055
ours,e0,0.022622446723105795,0.12170389228267595,0.15040760194586508
ours,e1,0.0061584886892157445,0.19758481681346893,0.07847603894957839
ours,e2,0.0169844715144249,0.19960040394216777,0.13032448547538908
ours,e3,0.0012518376082131357,0.06355792945250868,0.035381317219870936
ours,e4,0.010876750225042123,0.24833569973707198,0.1042916594222286
ours,e5,0.004781867566043854,0.29729914367198945,0.06915104891499371
