method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,597.2480009130028,176.92633262611923,0.3865673011842068,0.11540757916394173,3361.81953125,0.8573214099741123
ours,594.0213292223983,173.1494907140447,0.37931001423342386,0.11075397788596734,2408.220703125,0.0
