method,val_acc_mean,val_acc_std,overall_task_conflict_cos_mean,overall_task_conflict_cos_std,avg_intra_expert_coherence_mean,avg_intra_expert_coherence_std,expert_purity_mean_mean,expert_purity_mean_std,expert_diversity_mean_mean,expert_diversity_mean_std,load_cv_mean,load_cv_std,load_max_min_ratio_mean,load_max_min_ratio_std,utilization_ratio_mean,utilization_ratio_std,router_entropy_mean,router_entropy_std,inter_expert_similarity_mean,inter_expert_similarity_std,task_grad_norm_cv_mean,task_grad_norm_cv_std
baseline,0.8395225578506498,0.008954669490465552,0.05126463420747283,0.01692036971376387,0.09961792806319428,0.09411978198706589,0.5680561095476151,0.06934968451741298,0.6776648210121697,0.11382259073847038,0.6617472983829792,0.25772060357433174,103.00604693669432,135.64928368961137,0.7333333333333333,0.16996731711975951,1.0700152760652397,0.023750958259298138,-0.019846241616901638,0.06932242682738694,0.6357677173045053,0.11735994544994564
ours,0.8352146602144008,0.008720358843013353,0.04416804266172801,0.007835585713526938,0.11758179033158345,0.06903231001816737,0.5396670858065287,0.05694035625544139,0.7121459488685011,0.06868128681798828,0.37938793253405,0.11989944229354889,4.639878211081294,2.9396068285450636,0.9,0.08164965809277258,1.0377953932652106,0.04088249683913927,-0.025054446195692758,0.05439982391692388,0.5496143622384257,0.06358404804206515
