method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3,router_load_e4,router_load_e5
baseline,2,1000.0,1.0799198855803562,0.16125638782978058,0.11187811195850372,0.35386040806770325,0.0009761382243596017,0.02573992870748043,0.3462889790534973
baseline,3,1000.0,1.0860514741677505,0.14436835050582886,0.1048009991645813,0.010806483216583729,0.16425076127052307,0.34939125180244446,0.22638213634490967
baseline,5,1000.0,1.0227204495209914,0.059482816606760025,0.08868435770273209,0.07132400572299957,0.301882803440094,0.11094553768634796,0.3676805794239044
baseline,7,1000.0,1.0811829340457917,0.35457777976989746,0.37034809589385986,0.004242206923663616,0.0033054191153496504,0.20695239305496216,0.06057428941130638
baseline,11,1000.0,1.080201637011308,0.18173249065876007,0.1635107696056366,0.17339295148849487,0.10830207169055939,0.21271102130413055,0.16035060584545135
ours,2,1000.0,1.0858781257042518,0.12399742752313614,0.07429932057857513,0.20896470546722412,0.24457193911075592,0.21674729883670807,0.13141915202140808
ours,3,1000.0,1.0646183938246507,0.16989032924175262,0.1087665855884552,0.11736860871315002,0.16900059580802917,0.3346172273159027,0.10035671293735504
ours,5,1000.0,0.9763198752586658,0.18313604593276978,0.1690128594636917,0.26497289538383484,0.190592423081398,0.026082172989845276,0.16620352864265442
ours,7,1000.0,1.0040983884151164,0.1812472939491272,0.11349517852067947,0.28774675726890564,0.05986567586660385,0.11598622053861618,0.24165894091129303
ours,11,1000.0,1.0580621831233685,0.1901840716600418,0.14664703607559204,0.18136389553546906,0.11829546093940735,0.18494020402431488,0.17856934666633606
