method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coarse_000,coarse,1,0.5141559272737112,0.0,0.5141559272737112,0.5141559272737112,6.487666709287877e-07,3.1270947858164215e-05,2.166929842602531e-05
ours,coarse_default,coarse,1,0.4871937177297041,0.0,0.4871937177297041,0.4871937177297041,1e-08,0.001,2e-05
