group,total_runs,completed_runs,failed_runs,current_index,current_state,current_label,current_out_dir,current_message,group_percent,group_bar,pipeline_phase,pipeline_percent,pipeline_bar,pipeline_completed_jobs,pipeline_total_jobs,pipeline_failed_jobs,pipeline_eta_sec,pipeline_progress_file,pipeline_gpu_logs_root,last_update_epoch
single_task,12,10,0,11,running,single/deberta/sst2/lora/e4/k2,runs/paper_suite/single_gpu/single_task/deberta_sst2_lora_e4_k2,pipeline_running,91.0569105691057,[######################--]  91.06%,,92.6829268292683,[######################--]  92.68%,228,246,0,5063.263521777956,runs/paper_suite/single_gpu/single_task/deberta_sst2_lora_e4_k2/status/progress.json,runs/paper_suite/single_gpu/single_task/deberta_sst2_lora_e4_k2/logs/gpu,1774430070.3450677
multi_task,0,0,0,0,idle,,,,0.0,[------------------------]   0.00%,,0.0,[------------------------]   0.00%,0,0,0,,,,1774494214.6311448
minimal_ablation,0,0,0,0,idle,,,,0.0,[------------------------]   0.00%,,0.0,[------------------------]   0.00%,0,0,0,,,,1774494214.6312103
appendix,0,0,0,0,idle,,,,0.0,[------------------------]   0.00%,,0.0,[------------------------]   0.00%,0,0,0,,,,1774494214.6312582
