ts_epoch,group_count,terminal_group_count,running_group_count,total_runs,completed_runs,failed_runs,percent,bar
1773922896.5685692,4,0,0,0,0,0,0.0,[------------------------]   0.00%
1773922911.5731013,4,0,1,12,0,0,0.0,[------------------------]   0.00%
1773922926.5772066,4,0,1,12,0,0,0.0,[------------------------]   0.00%
1773922941.5938578,4,0,1,12,0,0,0.0,[------------------------]   0.00%
1773922956.5978346,4,0,1,12,0,0,0.0,[------------------------]   0.00%
1773922971.6096263,4,0,1,12,0,0,0.0,[------------------------]   0.00%
1773922986.6257071,4,0,1,12,0,0,0.0,[------------------------]   0.00%
1773923001.6427212,4,0,1,12,0,0,0.2604166666666667,[------------------------]   0.26%
1773923016.657905,4,0,1,12,0,0,0.78125,[------------------------]   0.78%
1773923031.6743515,4,0,1,12,0,0,0.78125,[------------------------]   0.78%
1773923046.6905887,4,0,1,12,0,0,0.78125,[------------------------]   0.78%
1773923061.7058866,4,0,1,12,0,0,0.78125,[------------------------]   0.78%
1773923076.7223618,4,0,1,12,0,0,0.9114583333333334,[------------------------]   0.91%
1773923091.7386107,4,0,1,12,0,0,0.9114583333333334,[------------------------]   0.91%
1773923106.7547653,4,0,1,12,0,0,1.5625,[------------------------]   1.56%
1773923121.7708135,4,0,1,12,0,0,1.5625,[------------------------]   1.56%
1773923136.7741265,4,0,1,12,0,0,1.5625,[------------------------]   1.56%
1773923151.790078,4,0,1,12,0,0,1.6927083333333333,[------------------------]   1.69%
1773923166.8060317,4,0,1,12,0,0,1.6927083333333333,[------------------------]   1.69%
1773923181.8221414,4,0,1,12,0,0,1.8229166666666667,[------------------------]   1.82%
1773923196.8380692,4,0,1,12,0,0,2.34375,[#-----------------------]   2.34%
1773923211.8542182,4,0,1,12,0,0,2.34375,[#-----------------------]   2.34%
1773923226.8708756,4,0,1,12,0,0,2.34375,[#-----------------------]   2.34%
1773923241.8867283,4,0,1,12,0,0,2.4739583333333335,[#-----------------------]   2.47%
1773923256.90289,4,0,1,12,0,0,2.4739583333333335,[#-----------------------]   2.47%
1773923271.919291,4,0,1,12,0,0,2.6041666666666665,[#-----------------------]   2.60%
1773923286.9357405,4,0,1,12,0,0,3.125,[#-----------------------]   3.12%
1773923301.9521105,4,0,1,12,0,0,3.125,[#-----------------------]   3.12%
1773923316.9684057,4,0,1,12,0,0,3.125,[#-----------------------]   3.12%
1773923331.9757571,4,0,1,12,0,0,3.2552083333333335,[#-----------------------]   3.26%
1773923346.9917598,4,0,1,12,0,0,3.2552083333333335,[#-----------------------]   3.26%
1773923362.0069072,4,0,1,12,0,0,3.3854166666666665,[#-----------------------]   3.39%
1773923377.0232642,4,0,1,12,0,0,3.90625,[#-----------------------]   3.91%
1773923392.02525,4,0,1,12,0,0,3.90625,[#-----------------------]   3.91%
1773923407.0417318,4,0,1,12,0,0,4.036458333333333,[#-----------------------]   4.04%
