method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,-0.29289816377928035
baseline,e0,e2,-0.27978383789443406
baseline,e0,e3,0.432937752127618
baseline,e1,e0,-0.29289816377928035
baseline,e1,e1,1.0
baseline,e1,e2,0.041763004476112885
baseline,e1,e3,0.212955085217762
baseline,e2,e0,-0.27978383789443406
baseline,e2,e1,0.041763004476112885
baseline,e2,e2,1.0
baseline,e2,e3,-0.39233160427496383
baseline,e3,e0,0.432937752127618
baseline,e3,e1,0.212955085217762
baseline,e3,e2,-0.39233160427496383
baseline,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.30043209655752007
ours,e0,e2,0.6053727801632773
ours,e0,e3,0.45216374446739205
ours,e1,e0,-0.30043209655752007
ours,e1,e1,1.0
ours,e1,e2,0.16865158198453026
ours,e1,e3,0.1797002000615653
ours,e2,e0,0.6053727801632773
ours,e2,e1,0.16865158198453026
ours,e2,e2,1.0
ours,e2,e3,0.6776612675586757
ours,e3,e0,0.45216374446739205
ours,e3,e1,0.1797002000615653
ours,e3,e2,0.6776612675586757
ours,e3,e3,1.0
