method,expert,purity_mean,purity_std
baseline,e0,0.5566775798797607,0.0
baseline,e1,0.5090670585632324,0.0
baseline,e2,0.538412868976593,0.0
baseline,e3,0.511504590511322,0.0
ours,e0,0.41383761167526245,0.0
ours,e1,0.43740615248680115,0.0
ours,e2,0.40770044922828674,0.0
ours,e3,0.4211427569389343,0.0
