method,row,col,value
baseline,task_alpha,task_alpha,1.0
baseline,task_alpha,task_beta,0.5458711469469402
baseline,task_alpha,task_gamma,0.9503624793021975
baseline,task_beta,task_alpha,0.5458711469469402
baseline,task_beta,task_beta,1.0
baseline,task_beta,task_gamma,0.4564946311901604
baseline,task_gamma,task_alpha,0.9503624793021975
baseline,task_gamma,task_beta,0.4564946311901604
baseline,task_gamma,task_gamma,1.0
ours,task_alpha,task_alpha,1.0
ours,task_alpha,task_beta,0.977008010062961
ours,task_alpha,task_gamma,0.9861656712287009
ours,task_beta,task_alpha,0.977008010062961
ours,task_beta,task_beta,1.0
ours,task_beta,task_gamma,0.9708239924577104
ours,task_gamma,task_alpha,0.9861656712287009
ours,task_gamma,task_beta,0.9708239924577104
ours,task_gamma,task_gamma,1.0
