method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,3.0,1.3264960596958797,0.23853351175785065,0.3942831754684448,0.1600869745016098,0.20709635317325592
ours,2,3.0,1.2723935147126515,0.1392448991537094,0.4212009608745575,0.1385345607995987,0.3010196089744568
