method,seed,best_val_acc,final_val_acc,score_05_05,reused,summary_json,curve_csv
baseline,2,0.3697916666666667,0.3697916666666667,0.3697916666666667,False,runs/tmp_method_parallel_smoke/final/baseline_s2.json,runs/tmp_method_parallel_smoke/final/baseline_s2_curve.csv
ours,2,0.3697916666666667,0.3697916666666667,0.3697916666666667,False,runs/tmp_method_parallel_smoke/final/ours_s2.json,runs/tmp_method_parallel_smoke/final/ours_s2_curve.csv
