method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,1.6938765969825909,0.0,0.20816930666721115,0.0,365.541015625,0.0
ours,1.731599802034907,0.0,0.2337062306663332,0.0,269.115234375,0.0
