method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,task_alpha,task_alpha,1,0.375,0.0,1.1643249690532684,0.0
baseline,task_beta,task_beta,1,0.40625,0.0,1.141888964921236,0.0
baseline,task_gamma,task_gamma,1,0.328125,0.0,1.2069260217249393,0.0
ours,task_alpha,task_alpha,1,0.375,0.0,1.8995061740279198,0.0
ours,task_beta,task_beta,1,0.40625,0.0,1.7957872971892357,0.0
ours,task_gamma,task_gamma,1,0.328125,0.0,2.0050049014389515,0.0
