method,seed,step,router_entropy,router_load_e0,router_load_e1,router_load_e2,router_load_e3
baseline,2,1000.0,0.3185977104879343,0.6737622618675232,0.161418616771698,0.16327403485774994,0.0015450112987309694
baseline,3,1000.0,0.2785681291497671,0.03112204000353813,0.003197462996467948,0.24740910530090332,0.7182713150978088
baseline,5,1000.0,0.36439924285962033,0.18167664110660553,0.8175450563430786,0.0007241424755193293,5.428037547972053e-05
baseline,7,1000.0,0.2286183804846727,0.005787121597677469,0.011919300071895123,0.7232853174209595,0.25900837779045105
baseline,11,1000.0,0.2665819483766189,0.19414687156677246,0.007015750743448734,0.17583787441253662,0.6229997277259827
ours,2,1000.0,0.42826609817835,0.826899528503418,0.001704914029687643,0.15664216876029968,0.01475352793931961
ours,3,1000.0,0.372350009725644,0.776634931564331,0.08053107559680939,0.134123757481575,0.008710234425961971
ours,5,1000.0,0.2987583328439639,0.7284941673278809,0.0022661169059574604,0.23245568573474884,0.03678404912352562
ours,7,1000.0,0.4370359458373143,0.8040484189987183,0.0014822966186329722,0.020818475633859634,0.17365072667598724
ours,11,1000.0,0.2098743420610061,0.008880434557795525,0.2889936566352844,0.016199903562664986,0.6859257221221924
