method,expert,purity_mean,purity_std
baseline,e0,0.4696637809276581,0.12010882155316897
baseline,e1,0.6848065555095673,0.20967535081612698
baseline,e2,0.6876611232757568,0.2239312022705637
baseline,e3,0.702327960729599,0.25869750776033185
ours,e0,0.42140007615089414,0.05902082249293042
ours,e1,0.6910621762275696,0.16226860714020105
ours,e2,0.586655342578888,0.12493059435240024
ours,e3,0.4838704109191895,0.11299688429719747
