method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,-0.0021727881550017785
baseline,glue/rte,glue/sst2,-0.02357653355343772
baseline,glue/rte,glue/cola,0.054393908196484084
baseline,glue/mrpc,glue/rte,-0.0021727881550017785
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/sst2,0.025860641156001472
baseline,glue/mrpc,glue/cola,0.13217579355050396
baseline,glue/sst2,glue/rte,-0.02357653355343772
baseline,glue/sst2,glue/mrpc,0.025860641156001472
baseline,glue/sst2,glue/sst2,1.0
baseline,glue/sst2,glue/cola,0.02648115126065707
baseline,glue/cola,glue/rte,0.054393908196484084
baseline,glue/cola,glue/mrpc,0.13217579355050396
baseline,glue/cola,glue/sst2,0.02648115126065707
baseline,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,0.01173468336881304
ours,glue/rte,glue/sst2,0.009356426490636744
ours,glue/rte,glue/cola,0.14704649722955285
ours,glue/mrpc,glue/rte,0.01173468336881304
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/sst2,0.051237566105435575
ours,glue/mrpc,glue/cola,0.10458905011416182
ours,glue/sst2,glue/rte,0.009356426490636744
ours,glue/sst2,glue/mrpc,0.051237566105435575
ours,glue/sst2,glue/sst2,1.0
ours,glue/sst2,glue/cola,0.09333430163086973
ours,glue/cola,glue/rte,0.14704649722955285
ours,glue/cola,glue/mrpc,0.10458905011416182
ours,glue/cola,glue/sst2,0.09333430163086973
ours,glue/cola,glue/cola,1.0
