method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
cagrad,5,0.864259927797834,0.012422130349520067,0.8353790613718411,0.018633195524280083,0.8498194945848375,0.013478812059635033
baseline,5,0.8592057761732852,0.006040866617574572,0.8368231046931408,0.018464565852049693,0.848014440433213,0.008573532192807121
ours,5,0.8570397111913357,0.005865731700098182,0.8346570397111913,0.015041636574729001,0.8458483754512635,0.009175642618872793
