method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,coarse_default,coarse,1,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,1e-08,0.001,2e-05
ours,coarse_000,coarse,1,0.6160076283075439,0.0,0.6160076283075439,0.6160076283075439,6.591945952545821e-09,2.0905716659530714e-05,3.483800361181956e-05
