method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,train.grad_clip,train.lr,train.weight_decay,method.ours.eps,method.ours.lambda_align
baseline,coarse_default,coarse,1,0.5520833333333334,0.0,0.5520833333333334,0.5520833333333334,1.0,2e-05,0.01,,
baseline,coarse_000,coarse,1,0.53125,0.0,0.53125,0.53125,1.9402618210733533,3.0561322966883563e-06,0.025684015685516044,,
ours,coarse_default,coarse,1,0.625,0.0,0.625,0.625,,2e-05,,1e-08,0.001
ours,coarse_000,coarse,1,0.53125,0.0,0.53125,0.53125,,3.483800361181956e-05,,6.591945952545821e-09,2.0905716659530714e-05
