method,expert,score_var,score_mean,score_std
baseline,e0,0.02874702850456416,0.2629789631813765,0.16954948688971064
baseline,e1,0.031028956379967377,0.37352422885596753,0.1761503800165284
baseline,e2,0.018535100376187354,0.19892521422734716,0.1361436754909583
baseline,e3,0.02082695735691793,0.32415629252791406,0.1443154785770325
cagrad,e0,0.005335720210974628,0.33737263530492784,0.07304601434010365
cagrad,e1,0.017155413537435597,0.28625685814768076,0.13097867588823608
cagrad,e2,0.018594768593728567,0.2489079236984253,0.1363626363551562
cagrad,e3,0.004773904293583566,0.34745525270700456,0.06909344609717745
ours,e0,0.016118922126648394,0.25566493198275564,0.12696031713353742
ours,e1,0.003801463929014213,0.24561179652810097,0.061656012918564665
ours,e2,0.019726896083044308,0.33551895767450335,0.14045246912405743
ours,e3,0.023537076298552007,0.3425214570015669,0.15341797905901383
