method,row,col,value
baseline,glue/rte,glue/rte,1.0
baseline,glue/rte,glue/mrpc,0.06497442938730257
baseline,glue/rte,glue/sst2,0.013701687411879293
baseline,glue/rte,glue/cola,0.09141418354895527
baseline,glue/mrpc,glue/rte,0.06497442938730257
baseline,glue/mrpc,glue/mrpc,1.0
baseline,glue/mrpc,glue/sst2,0.020117005609154765
baseline,glue/mrpc,glue/cola,0.0686850400049435
baseline,glue/sst2,glue/rte,0.013701687411879293
baseline,glue/sst2,glue/mrpc,0.020117005609154765
baseline,glue/sst2,glue/sst2,1.0
baseline,glue/sst2,glue/cola,0.09654011452425383
baseline,glue/cola,glue/rte,0.09141418354895527
baseline,glue/cola,glue/mrpc,0.0686850400049435
baseline,glue/cola,glue/sst2,0.09654011452425383
baseline,glue/cola,glue/cola,1.0
cagrad,glue/rte,glue/rte,1.0
cagrad,glue/rte,glue/mrpc,0.05156090631016504
cagrad,glue/rte,glue/sst2,0.010848391189256226
cagrad,glue/rte,glue/cola,0.10553486055105026
cagrad,glue/mrpc,glue/rte,0.05156090631016504
cagrad,glue/mrpc,glue/mrpc,1.0
cagrad,glue/mrpc,glue/sst2,0.017236544803110564
cagrad,glue/mrpc,glue/cola,0.05749803720555605
cagrad,glue/sst2,glue/rte,0.010848391189256226
cagrad,glue/sst2,glue/mrpc,0.017236544803110564
cagrad,glue/sst2,glue/sst2,1.0
cagrad,glue/sst2,glue/cola,0.07607599366857329
cagrad,glue/cola,glue/rte,0.10553486055105026
cagrad,glue/cola,glue/mrpc,0.05749803720555605
cagrad,glue/cola,glue/sst2,0.07607599366857329
cagrad,glue/cola,glue/cola,1.0
ours,glue/rte,glue/rte,1.0
ours,glue/rte,glue/mrpc,0.06581513694636729
ours,glue/rte,glue/sst2,0.013052889453097327
ours,glue/rte,glue/cola,0.07499295848704096
ours,glue/mrpc,glue/rte,0.06581513694636729
ours,glue/mrpc,glue/mrpc,1.0
ours,glue/mrpc,glue/sst2,0.056542190544489945
ours,glue/mrpc,glue/cola,0.06328265206669853
ours,glue/sst2,glue/rte,0.013052889453097327
ours,glue/sst2,glue/mrpc,0.056542190544489945
ours,glue/sst2,glue/sst2,1.0
ours,glue/sst2,glue/cola,0.06915847973442804
ours,glue/cola,glue/rte,0.07499295848704096
ours,glue/cola,glue/mrpc,0.06328265206669853
ours,glue/cola,glue/sst2,0.06915847973442804
ours,glue/cola,glue/cola,1.0
