method,task_key,task_name,n_seeds,task_acc_mean,task_acc_std,task_loss_mean,task_loss_std
baseline,glue_cola,glue/cola,5,0.8546500479386386,0.00464188626535386,0.5260166759506919,0.044797328865566366
baseline,glue_mrpc,glue/mrpc,5,0.876470588235294,0.01347816380869366,0.5913238481175704,0.025106592408049824
baseline,glue_rte,glue/rte,5,0.7963898916967509,0.008420147140570804,1.024389321266097,0.10714060038283714
baseline,glue_sst2,glue/sst2,5,0.9298165137614678,0.013183585195596233,0.20980056546187761,0.025988784801083315
cagrad,glue_cola,glue/cola,5,0.8410354745925215,0.008030830907525181,0.5744683282052623,0.05331408479485007
cagrad,glue_mrpc,glue/mrpc,5,0.8696078431372548,0.005233861888250624,0.667085355389449,0.1041029669609065
cagrad,glue_rte,glue/rte,5,0.7963898916967509,0.014548333342678622,1.0886986081276349,0.16857022085528747
cagrad,glue_sst2,glue/sst2,5,0.9332568807339451,0.008186499219071,0.20819632589887727,0.014096127286566177
ours,glue_cola,glue/cola,5,0.8615532118887824,0.0025439116321038556,0.48342335038948203,0.03426204708267137
ours,glue_mrpc,glue/mrpc,5,0.8666666666666668,0.01124249504037227,0.6326606026614079,0.05769682461317553
ours,glue_rte,glue/rte,5,0.7833935018050542,0.019904763540924506,1.1242614313184434,0.05488351273920105
ours,glue_sst2,glue/sst2,5,0.9392201834862386,0.0070692821134965235,0.17220067612756146,0.011118066233108586
