method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.22916562521189202
baseline,e0,e2,-0.05687429270584614
baseline,e0,e3,0.025091411194033048
baseline,e1,e0,0.22916562521189202
baseline,e1,e1,1.0
baseline,e1,e2,0.12784752712626477
baseline,e1,e3,-0.1122074490971721
baseline,e2,e0,-0.05687429270584614
baseline,e2,e1,0.12784752712626477
baseline,e2,e2,1.0
baseline,e2,e3,-0.18780196698682677
baseline,e3,e0,0.025091411194033048
baseline,e3,e1,-0.1122074490971721
baseline,e3,e2,-0.18780196698682677
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,0.15823792672443077
cagrad,e0,e2,-0.09386239287770903
cagrad,e0,e3,0.08145384244542084
cagrad,e1,e0,0.15823792672443077
cagrad,e1,e1,1.0
cagrad,e1,e2,-0.11940237359352084
cagrad,e1,e3,0.02102432867432068
cagrad,e2,e0,-0.09386239287770903
cagrad,e2,e1,-0.11940237359352084
cagrad,e2,e2,1.0
cagrad,e2,e3,0.008246954372676113
cagrad,e3,e0,0.08145384244542084
cagrad,e3,e1,0.02102432867432068
cagrad,e3,e2,0.008246954372676113
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,0.16112711826865592
ours,e0,e2,-0.034077559665025146
ours,e0,e3,-0.03017902299870338
ours,e1,e0,0.16112711826865592
ours,e1,e1,1.0
ours,e1,e2,0.024514691303956105
ours,e1,e3,0.08606790404172712
ours,e2,e0,-0.034077559665025146
ours,e2,e1,0.024514691303956105
ours,e2,e2,1.0
ours,e2,e3,-0.0052109598529563594
ours,e3,e0,-0.03017902299870338
ours,e3,e1,0.08606790404172712
ours,e3,e2,-0.0052109598529563594
ours,e3,e3,1.0
