method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,1979.668610179599,426.6347910627372,1.4190464006800787,0.30382436457041145,5977.36474609375,0.0
cagrad,6714.5918214918,986.690005228523,6.275157403790608,0.907449130991024,5974.48974609375,0.0
ours,1944.0431060689996,427.1927128840807,1.3837903380446313,0.3029632163347048,3863.18603515625,0.0
