method,expert,purity_mean,purity_std
baseline,e0,0.6242786884307862,0.15650041927967714
baseline,e1,0.46933130621910096,0.17429561888306494
baseline,e2,0.5308668613433838,0.3290157850944095
baseline,e3,0.48513028025627136,0.16536155064598237
cagrad,e0,0.513359260559082,0.15700010168965842
cagrad,e1,0.5418407380580902,0.23246856259121593
cagrad,e2,0.7401552140712738,0.21159794874937782
cagrad,e3,0.45667113065719606,0.08686341178170306
ours,e0,0.5629127204418183,0.2235603349997944
ours,e1,0.557552033662796,0.11172130138365267
ours,e2,0.4785498261451721,0.09797517776378192
ours,e3,0.5909211337566376,0.22080790270246367
