method,lr,seed,best_val_acc,final_val_acc,score_05_05,summary_json,curve_csv
baseline_avg,2.0000000000000003e-06,2,0.6205097243348998,0.6139204803623288,0.6172151023486143,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p00em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p00em06/baseline_avg_s2_curve.csv
baseline_avg,2.0000000000000003e-06,3,0.6237167724244093,0.6237167724244093,0.6237167724244093,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p00em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p00em06/baseline_avg_s3_curve.csv
baseline_avg,2.477980741884182e-06,2,0.6230828701504588,0.6230828701504588,0.6230828701504588,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p48em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p48em06/baseline_avg_s2_curve.csv
baseline_avg,2.477980741884182e-06,3,0.6207071498351155,0.6185142548931153,0.6196107023641154,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p48em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_2p48em06/baseline_avg_s3_curve.csv
baseline_avg,3.0701942785744396e-06,2,0.6169664010783972,0.6169664010783972,0.6169664010783972,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p07em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p07em06/baseline_avg_s2_curve.csv
baseline_avg,3.0701942785744396e-06,3,0.6336996169501324,0.6336996169501324,0.6336996169501324,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p07em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p07em06/baseline_avg_s3_curve.csv
baseline_avg,3.8039411480752295e-06,2,0.6489787416270832,0.6489787416270832,0.6489787416270832,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p80em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p80em06/baseline_avg_s2_curve.csv
baseline_avg,3.8039411480752295e-06,3,0.6124695846243262,0.6124695846243262,0.6124695846243262,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p80em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_3p80em06/baseline_avg_s3_curve.csv
baseline_avg,4.713046454095611e-06,2,0.6390937007015957,0.6390937007015957,0.6390937007015957,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_4p71em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_4p71em06/baseline_avg_s2_curve.csv
baseline_avg,4.713046454095611e-06,3,0.6246943135551413,0.6246943135551413,0.6246943135551413,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_4p71em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_4p71em06/baseline_avg_s3_curve.csv
baseline_avg,5.839419174427227e-06,2,0.6533563222977753,0.6533563222977753,0.6533563222977753,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_5p84em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_5p84em06/baseline_avg_s2_curve.csv
baseline_avg,5.839419174427227e-06,3,0.6392797215317209,0.6392797215317209,0.6392797215317209,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_5p84em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_5p84em06/baseline_avg_s3_curve.csv
baseline_avg,7.234984129009947e-06,2,0.6480228984962532,0.6480228984962532,0.6480228984962532,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_7p23em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_7p23em06/baseline_avg_s2_curve.csv
baseline_avg,7.234984129009947e-06,3,0.6441148972692882,0.6441148972692882,0.6441148972692882,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_7p23em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_7p23em06/baseline_avg_s3_curve.csv
baseline_avg,8.964075669762173e-06,2,0.6579776541085102,0.6579776541085102,0.6579776541085102,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_8p96em06/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_8p96em06/baseline_avg_s2_curve.csv
baseline_avg,8.964075669762173e-06,3,0.6579797382250132,0.6579797382250132,0.6579797382250132,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_8p96em06/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_8p96em06/baseline_avg_s3_curve.csv
baseline_avg,1.1106403439231605e-05,2,0.6415168579970452,0.6415168579970452,0.6415168579970452,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_1p11em05/baseline_avg_s2.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_1p11em05/baseline_avg_s2_curve.csv
baseline_avg,1.1106403439231605e-05,3,0.6260590761797576,0.6260590761797576,0.6260590761797576,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_1p11em05/baseline_avg_s3.json,runs_hpo60_topk_deberta_s23_step50/baseline_avg/lr_1p11em05/baseline_avg_s3_curve.csv
