method,expert,score_var,score_mean,score_std
baseline,e0,0.08078682571682046,0.38834038078784944,0.2842302336431163
baseline,e1,0.04462733125837179,0.19406950766569936,0.21125181953860608
baseline,e2,0.07004274488782034,0.491233779489994,0.2646558990232795
baseline,e3,0.000598026961163061,0.031367506917740685,0.024454589777034925
cagrad,e0,0.13347369498580564,0.5582154335454106,0.3653405192225544
cagrad,e1,0.002821498688407443,0.09580031074583531,0.05311778128280061
cagrad,e2,0.13197035648166713,0.3784038649871945,0.363277244651612
cagrad,e3,0.0027598600654129093,0.04992033330781851,0.052534370324701804
ours,e0,0.009916272644239945,0.1047775617451407,0.09958048324968073
ours,e1,0.12929912797600746,0.46368972212076187,0.35958187937659963
ours,e2,0.05653234753352295,0.3585656890645623,0.23776532029192768
ours,e3,0.08045712601360253,0.1955726112893899,0.2836496536461882
