method,expert,purity_mean,purity_std
baseline,e0,0.5719320476055145,0.3301337094319117
baseline,e1,0.7372784972190857,0.17762617001537853
baseline,e2,0.5936228513717652,0.3507650073402954
baseline,e3,0.6387824535369873,0.04686345334498738
cagrad,e0,0.39506077766418457,0.22256404622437007
cagrad,e1,0.47933670282363894,0.10281247444676508
cagrad,e2,0.47381421327590945,0.40371254217821784
cagrad,e3,0.7561725735664367,0.15458524711569413
ours,e0,0.5250172853469849,0.0991782732990788
ours,e1,0.6882897853851319,0.17099572116468023
ours,e2,0.6606544852256775,0.11309359804450328
ours,e3,0.7456056356430054,0.13788206309852685
