method,candidate_id,stage,n_seeds,score_mean,score_std,best_mean,final_mean,method.ours.eps,method.ours.lambda_align,train.lr
ours,local_t1_024,local,2,0.7245027518595127,0.004271121058766036,0.7245027518595127,0.7245027518595127,1e-08,0.002,4e-05
ours,local_t2_028,local,2,0.7198204009634286,0.008055093317178963,0.7198204009634286,0.7198204009634286,2.9398e-08,0.000601836345,2.8655543e-05
ours,coarse_034,coarse,2,0.7161593067435585,0.00394403353698064,0.7161593067435585,0.7161593067435585,5.485143974769073e-07,0.00013015917808618732,2.4330272219923085e-05
ours,local_t3_069,local,2,0.7150474829041931,0.005394216659842521,0.7150474829041931,0.7150474829041931,5.48514e-07,0.000260318356,2.4330272e-05
ours,local_t2_034,local,2,0.7138291598631716,0.005000830479422846,0.7138291598631716,0.7138291598631716,2.9398e-08,0.002407345382,2.8655543e-05
ours,coarse_001,coarse,2,0.7108876542322564,0.0047106603809033976,0.7108876542322564,0.7108876542322564,9.79921378893638e-09,0.0012036726909841462,5.7311085087922365e-05
ours,local_t2_030,local,2,0.710615234471986,0.005038726334588461,0.710615234471986,0.710615234471986,9.799e-09,0.001203672691,2.8655543e-05
ours,coarse_default,coarse,2,0.7104587914119604,0.0018495855283293672,0.7104587914119604,0.7104587914119604,1e-08,0.001,2e-05
ours,local_t3_062,local,2,0.709909980193145,0.0035628042315222763,0.709909980193145,0.709909980193145,1.82838e-07,6.5079589e-05,2.4330272e-05
ours,coarse_055,coarse,2,0.7097135727145589,0.0026440114323376673,0.7097135727145589,0.7097135727145589,1.1225762595967502e-07,0.022544811592448987,2.663464799936706e-05
ours,local_t3_079,local,2,0.7097056533546313,0.013952994559262633,0.7097056533546313,0.7097056533546313,1e-06,0.000260318356,4.8660544e-05
ours,coarse_002,coarse,2,0.7095022356659897,0.0065243465075964235,0.7095022356659897,0.7095022356659897,6.254436545691668e-09,4.2835603750870586e-05,4.2333466349297045e-05
ours,local_t3_066,local,2,0.7094843524193613,0.002028729056778311,0.7094843524193613,0.7094843524193613,5.48514e-07,0.000130159178,2.4330272e-05
ours,coarse_054,coarse,2,0.7088079632954791,0.003447117384658027,0.7088079632954791,0.7088079632954791,1.0324245597440696e-08,0.0012266808069923947,2.2790474576458146e-05
ours,coarse_000,coarse,2,0.7076052131575541,0.0001914333117897793,0.7076052131575541,0.7076052131575541,6.487666709287877e-07,3.1270947858164215e-05,2.166929842602531e-05
ours,local_t3_065,local,2,0.7074218321140715,0.0051753830131056056,0.7074218321140715,0.7074218321140715,1.82838e-07,0.000130159178,2.4330272e-05
ours,local_t3_074,local,2,0.7074111160225,0.0037407487567184816,0.7074111160225,0.7074111160225,1.82838e-07,0.000130159178,4.8660544e-05
ours,local_t2_026,local,2,0.7070928570105144,0.009158128236474605,0.7070928570105144,0.7070928570105144,3.266e-09,0.000601836345,2.8655543e-05
ours,local_t3_077,local,2,0.7066840704251075,0.008158756197461203,0.7066840704251075,0.7066840704251075,1.82838e-07,0.000260318356,4.8660544e-05
ours,local_t1_009,local,2,0.705976176359624,0.015443909858663896,0.705976176359624,0.705976176359624,3.333e-09,0.0005,2e-05
ours,local_t2_027,local,2,0.7059408962544789,0.0026510456790151404,0.7059408962544789,0.7059408962544789,9.799e-09,0.000601836345,2.8655543e-05
ours,coarse_019,coarse,2,0.7058767509943752,0.010543570839363081,0.7058767509943752,0.7058767509943752,3.0468154620358934e-09,1.2318239428924938e-05,1.6059149752391216e-05
ours,coarse_028,coarse,2,0.7056015147075959,0.01185283997380926,0.7060524784946889,0.7051505509205029,6.408384906967286e-08,0.0009043482793839973,2.796822117813749e-05
ours,local_t1_025,local,2,0.7049451820237378,0.01683110713494479,0.7049451820237378,0.7049451820237378,3e-08,0.002,4e-05
ours,local_t3_071,local,2,0.7047244607952292,0.0009917425324662554,0.7047244607952292,0.7047244607952292,1.82838e-07,6.5079589e-05,4.8660544e-05
ours,local_t2_042,local,2,0.7046960579917605,0.001961919973410109,0.7046960579917605,0.7046960579917605,9.799e-09,0.002407345382,5.7311085e-05
ours,local_t3_067,local,2,0.7039750045827939,0.005629586088467475,0.7039750045827939,0.7039750045827939,1e-06,0.000130159178,2.4330272e-05
ours,local_t1_022,local,2,0.7038995875609793,0.0066491276810193845,0.7038995875609793,0.7038995875609793,3e-08,0.001,4e-05
ours,local_t3_068,local,2,0.7036872084541583,0.010238157280857862,0.7036872084541583,0.7036872084541583,1.82838e-07,0.000260318356,2.4330272e-05
ours,coarse_092,coarse,2,0.7036040049807952,0.005419399969907257,0.7036040049807952,0.7036040049807952,4.655925136662931e-09,4.6444634176183184e-05,4.632381754022915e-05
