method,n_seeds,best_mean,best_std,final_mean,final_std,score_mean,score_std
cagrad,5,0.7647749602106245,0.011695632446171148,0.7595982359540219,0.0057141609604577405,0.7621865980823233,0.008640750623605165
baseline,5,0.7639505380165134,0.017822040689324376,0.7586038476964535,0.02074718379146351,0.7612771928564834,0.019027403950185966
ours,5,0.757863089347709,0.020000588265494765,0.7457170648002214,0.03587027424775101,0.7517900770739652,0.027654268502259098
