method,row,col,value
baseline,e0,e0,1.0
baseline,e0,e1,0.08425735433913098
baseline,e0,e2,0.11307092142836313
baseline,e0,e3,0.09742698570546068
baseline,e1,e0,0.08425735433913098
baseline,e1,e1,1.0
baseline,e1,e2,0.024278058709226537
baseline,e1,e3,-0.08086244869200979
baseline,e2,e0,0.11307092142836313
baseline,e2,e1,0.024278058709226537
baseline,e2,e2,1.0
baseline,e2,e3,-0.12849613997909418
baseline,e3,e0,0.09742698570546068
baseline,e3,e1,-0.08086244869200979
baseline,e3,e2,-0.12849613997909418
baseline,e3,e3,1.0
cagrad,e0,e0,1.0
cagrad,e0,e1,-0.023758257441790047
cagrad,e0,e2,0.024745241872618378
cagrad,e0,e3,0.07801554013011629
cagrad,e1,e0,-0.023758257441790047
cagrad,e1,e1,1.0
cagrad,e1,e2,-0.19702986874603381
cagrad,e1,e3,-0.24069454642755345
cagrad,e2,e0,0.024745241872618378
cagrad,e2,e1,-0.19702986874603381
cagrad,e2,e2,1.0
cagrad,e2,e3,0.026755116143276098
cagrad,e3,e0,0.07801554013011629
cagrad,e3,e1,-0.24069454642755345
cagrad,e3,e2,0.026755116143276098
cagrad,e3,e3,1.0
ours,e0,e0,1.0
ours,e0,e1,-0.04111596629975454
ours,e0,e2,-0.13619224723162401
ours,e0,e3,0.07466034021352565
ours,e1,e0,-0.04111596629975454
ours,e1,e1,1.0
ours,e1,e2,-0.05870695811045168
ours,e1,e3,-0.10775221867898921
ours,e2,e0,-0.13619224723162401
ours,e2,e1,-0.05870695811045168
ours,e2,e2,1.0
ours,e2,e3,-0.1207268568518292
ours,e3,e0,0.07466034021352565
ours,e3,e1,-0.10775221867898921
ours,e3,e2,-0.1207268568518292
ours,e3,e3,1.0
