method,expert,purity_mean,purity_std
baseline,e0,0.48333794474601743,0.11176302590942769
baseline,e1,0.5233558475971222,0.10996153410684174
baseline,e2,0.5173543393611908,0.11506619937842409
baseline,e3,0.5034433960914612,0.08021933252777388
cagrad,e0,0.4803100347518921,0.040283647686611294
cagrad,e1,0.49640255570411684,0.03191098791747476
cagrad,e2,0.5086499452590942,0.029345946795037672
cagrad,e3,0.4858765482902527,0.028215201831826367
ours,e0,0.4824008584022522,0.09760003024406924
ours,e1,0.46972948908805845,0.09109742358350528
ours,e2,0.4317829430103302,0.058216763672605296
ours,e3,0.434722489118576,0.06528481060494558
