method,wall_time_sec_mean,wall_time_sec_std,mean_train_step_time_sec_mean,mean_train_step_time_sec_std,peak_cuda_memory_mb_mean,peak_cuda_memory_mb_std
baseline,722.491869235877,7.006939835513269,0.1885805836284999,0.003299724837680527,3359.816015625,1.4882876066137216
cagrad,2548.110597920604,53.674186962197844,2.4404281285207254,0.024896890997012863,3365.471875,0.9
ours,769.8439848832786,82.17629202201874,0.1935989333530888,0.020321471955026954,2406.818359375,0.0
