method,expert,score_var,score_mean,score_std
baseline,e0,0.0009909270308387753,0.2782274901866913,0.03147899348516047
baseline,e1,0.0029035603401123744,0.2610887050628662,0.053884694859601595
baseline,e2,0.0006406697019745967,0.21524108648300172,0.02531145396800817
baseline,e3,0.0033522909074881293,0.28444516509771345,0.057898971558121216
cagrad,e0,0.002574942642585389,0.25828283578157424,0.050743892662914514
cagrad,e1,0.0015803427810959024,0.30986098498106,0.039753525392044194
cagrad,e2,0.0009870048625361338,0.2333923503756523,0.031416633532829925
cagrad,e3,0.003939154785719414,0.24098564237356185,0.0627626862532143
ours,e0,0.002962214394447038,0.25389792770147324,0.05442622891995217
ours,e1,0.0008966603600393343,0.29126342236995695,0.02994428760280221
ours,e2,0.0028420582725704824,0.24929911345243455,0.05331095827848607
ours,e3,0.0005669222545629316,0.25197280645370485,0.023810129242885926
